PRECINCTID,CONSOLIDATED WITH,NAME,STREET,CITY,STATE,ZIP
20-004,,THOMAS JOHNSON MIDDLE SCH - MPR,5401 BARKER PL,LANHAM,MD,20706
20-005,,ROBERT FROST ELEMENTARY SCHOOL,6419 85TH AVE,NEW CARROLLTON,MD,20784
20-006,,CHARLES CARROLL MIDDLE SCHOOL - CAFETERIA,6130 LAMONT TERR,NEW CARROLLTON,MD,20784
20-007,20-024,GLENARDEN WOODS ELEMENTARY SCHOOL - MPR,7801 GLENARDEN PKY,GLENARDEN,MD,20706
20-008,,SEABROOK ELEMENTARY SCHOOL,6001 SEABROOK RD,SEABROOK,MD,20706
20-009,,GLENN DALE ELEMENTARY SCHOOL,6700 GLENN DALE RD,GLENN DALE,MD,20769
20-010,,GOOD LUCK COMMUNITY CENTER,8601 GOOD LUCK RD,LANHAM,MD,20706
20-011,,MOUNT CALVARY BAPTIST CHURCH,5120 WHITFIELD CHAPEL RD,LANHAM,MD,20706
20-012,20-015,UNITED BAPTIST CHURCH,7701 RIVERDALE RD,NEW CARROLLTON,MD,20784
20-013,,GRACE PRESBYTERIAN CHURCH,5924 PRINCESS GARDEN PKY,LANHAM,MD,20706
20-016,"20-020, 20-025",LINCOLN VISTA COMMUNITY BLDG,9800 RIDGE ST,GLENARDEN,MD,20706
20-018,,JUDGE SYLVANIA W. WOODS  ELEM SCH - CAF,3000 CHURCH STREET,GLENARDEN,MD,20706
20-019,20-021,ST MATHIAS THE APOSTLE CATHOLIC CHURCH - FRND/SHP,9475 ANNAPOLIS ROAD,LANHAM,MD,20706
21-001,,PAINT BRANCH ELEM SCH,5101 PIERCE AVE,COLLEGE PARK,MD,20740
21-002,,UNIV OF MD RITCHIE COLISEUM,7675 BALTIMORE AVE,COLLEGE PARK,MD,20742
21-003,,GREENBELT COMMUNITY CENTER,15 CRESCENT RD,GREENBELT,MD,20770
21-004,,HOLLYWOOD ELEMENTARY SCHOOL,9811 49TH AVE,COLLEGE PARK,MD,20740
21-005,,BUCK LODGE MIDDLE SCHOOL,2611 BUCK LODGE RD,ADELPHI,MD,20783
21-006,,GREENBELT ELEMENTARY SCHOOL,66 RIDGE RD,GREENBELT,MD,20770
21-007,,BERWYN HEIGHTS ELEM SCH,6200 PONTIAC ST,BERWYN HEIGHTS,MD,20740
21-008,,SPRINGHILL LAKE ELEM SCH,6060 SPRINGHILL DR,GREENBELT,MD,20770
21-009,,GREENBELT MIDDLE SCHOOL - GYM,6301 BREEZEWOOD DR,GREENBELT,MD,20770
21-010,,COLLEGE PARK UNITED METHODIST CHURCH,9601 RHODE ISLAND AVE,COLLEGE PARK,MD,20740
21-011,,MAGNOLIA ELEMENTARY SCHOOL,8400 NIGHTINGALE DR,LANHAM,MD,20706
21-012,"21-019, 21-020",ST MARK THE EVANGELIST CHURCH - GYM,7501 ADELPHI RD,HYATTSVILLE,MD,20783
21-013,,ELEANOR ROOSEVELT HIGH SCHOOL,7601 HANOVER PKY,GREENBELT,MD,20770
21-014,"21-021, 21-022",HILLANDALE BAPTIST CHURCH,2601 POWDER MILL RD,ADELPHI,MD,20783
21-015,,ADELPHI ELEM SCH,9000 25TH AVE,ADELPHI,MD,20783
21-016,,LAMONT ELEMENTARY SCHOOL,7101 GOOD LUCK RD,NEW CARROLLTON,MD,20784
21-017,,UNIV OF MD / STAMP STUDENT UNION BLDG,3972 CAMPUS DR,COLLEGE PARK,MD,20742
21-018,,TRINITY ASSEMBLY OF GOD,7800 GOOD LUCK RD,LANHAM,MD,20706
